source_name,target_name,weight,month
Banke,Banke,238.28559170638133,1
Bara,Banke,165.70305276720526,1
Bara,Bara,778.0545208475506,1
Bara,Chitwan,10.575528143239335,1
Bara,Darchula,4.117257662261585,1
Bara,Doti,3.0453847316880203,1
Bara,Jumla,4.455798899598746,1
Bara,Kailali,54.66539000895794,1
Bara,Kapilvastu,13.199676459080148,1
Bara,Kaski,5.791191321803605,1
Bara,Kathmandu,34.69363201046092,1
Bara,Salyan,7.009544568218941,1
Bara,Sunsari,4.3039472984819085,1
Bara,Surkhet,28.894861156652485,1
Bardiya,Banke,11.762011372768216,1
Bardiya,Bardiya,404.3089185328548,1
Bardiya,Chitwan,13.776569122133656,1
Bardiya,Dadeldhura,55.98612270484032,1
Bardiya,Darchula,39.11994415685985,1
Bardiya,Doti,46.501805968984016,1
Bardiya,Jumla,9.484591482084715,1
Bardiya,Kailali,295.8123264826277,1
Bardiya,Kapilvastu,9.971595241173947,1
Bardiya,Kaski,7.236279517830983,1
Bardiya,Kathmandu,52.37857552529612,1
Bardiya,Makwanpur,3.4061760751407717,1
Bardiya,Nuwakot,3.1242068290161544,1
Bardiya,Salyan,3.184317404526551,1
Bardiya,Sunsari,7.549072661397182,1
Bardiya,Surkhet,26.424202771008016,1
Dang,Banke,23.089517028936644,1
Dang,Bhaktapur,3.8524911991139454,1
Dang,Chitwan,90.26013643353689,1
Dang,Dadeldhura,3.0789326864496127,1
Dang,Dang,563.8284483402733,1
Dang,Darchula,7.1677294225135135,1
Dang,Dhading,14.685075195229322,1
Dang,Dhankuta,5.691713925723048,1
Dang,Dolakha,4.984019183375137,1
Dang,Doti,3.95135919753906,1
Dang,Gulmi,51.090447847430895,1
Dang,Jumla,12.059263833962422,1
Dang,Kailali,31.365713567676785,1
Dang,Kapilvastu,435.9318235425528,1
Dang,Kaski,55.61728074010297,1
Dang,Kathmandu,234.98810145303028,1
Dang,Mahottari,6.707440104682254,1
Dang,Makwanpur,16.496106775647043,1
Dang,Morang,7.680977161066987,1
Dang,Nawalparasi,6.635255619393147,1
Dang,Nuwakot,14.440526777408715,1
Dang,Palpa,28.60927423709952,1
Dang,Parbat,15.83669583102333,1
Dang,Salyan,66.99951466447831,1
Dang,Sunsari,22.956050940976432,1
Dang,Surkhet,20.02402264970623,1
Dang,Syangja,24.74690485619502,1
Dang,Taplejung,4.789049678911162,1
Dhanusa,Chitwan,8.707877991815872,1
Dhanusa,Dhankuta,9.842117761120305,1
Dhanusa,Dhanusa,434.1909669014402,1
Dhanusa,Dolakha,6.987921497926489,1
Dhanusa,Kathmandu,128.07028358428104,1
Dhanusa,Mahottari,85.23226041129115,1
Dhanusa,Makwanpur,6.707015235149484,1
Dhanusa,Morang,12.225699359709372,1
Dhanusa,Nuwakot,4.224001873936084,1
Dhanusa,Ramechhap,7.275343460842399,1
Dhanusa,Sindhuli,15.861168697404814,1
Dhanusa,Sunsari,52.44027307509638,1
Dhanusa,Taplejung,5.17428100064223,1
Jhapa,Chitwan,4.0026838261274325,1
Jhapa,Dhankuta,61.4538802942712,1
Jhapa,Jhapa,729.6603097103863,1
Jhapa,Kathmandu,43.29328121243763,1
Jhapa,Mahottari,4.35101898407336,1
Jhapa,Morang,340.1981365857734,1
Jhapa,Sunsari,274.1349300624102,1
Jhapa,Taplejung,41.67966854325706,1
Kailali,Kailali,142.8570973783964,1
Kathmandu,Kathmandu,588.9778099969546,1
Mahottari,Mahottari,549.9992729082596,1
Morang,Morang,642.8562306852654,1
Nawalparasi,Nawalparasi,617.2862233484593,1
Rautahat,Kathmandu,46.3727383075539,1
Rautahat,Mahottari,3.831578511964723,1
Rautahat,Rautahat,311.3327274008256,1
Rupandehi,Banke,3.4283277758825736,1
Rupandehi,Bhaktapur,5.074495863746144,1
Rupandehi,Chitwan,169.21537351402935,1
Rupandehi,Dhading,21.65944909640135,1
Rupandehi,Dhankuta,6.110099845765004,1
Rupandehi,Dolakha,5.855579038045315,1
Rupandehi,Gulmi,27.184997507997853,1
Rupandehi,Jumla,3.23834821146665,1
Rupandehi,Kailali,7.4780022999801234,1
Rupandehi,Kapilvastu,301.50690682646274,1
Rupandehi,Kaski,60.88075520771099,1
Rupandehi,Kathmandu,318.845784212885,1
Rupandehi,Mahottari,8.819511574720742,1
Rupandehi,Makwanpur,24.22068812498737,1
Rupandehi,Morang,8.25899982951436,1
Rupandehi,Nawalparasi,44.3162259009676,1
Rupandehi,Nuwakot,18.66813012649084,1
Rupandehi,Palpa,64.22751096981558,1
Rupandehi,Parbat,13.92008055264899,1
Rupandehi,Rupandehi,370.1340816078838,1
Rupandehi,Salyan,4.345017981190211,1
Rupandehi,Sindhuli,3.5457506614253607,1
Rupandehi,Sunsari,25.40242352975475,1
Rupandehi,Surkhet,3.787363632002325,1
Rupandehi,Syangja,37.76920600286473,1
Rupandehi,Taplejung,4.888212578185574,1
Saptari,Chitwan,3.390227977555234,1
Saptari,Dhankuta,33.29217585943034,1
Saptari,Dolakha,3.44244672770296,1
Saptari,Kathmandu,44.642371705109895,1
Saptari,Mahottari,8.962257419721526,1
Saptari,Morang,43.096023204055015,1
Saptari,Ramechhap,3.060422945220532,1
Saptari,Saptari,725.7841363495946,1
Saptari,Sindhuli,3.147340476834125,1
Saptari,Sunsari,362.24166302397794,1
Saptari,Taplejung,10.147253752625746,1
Sarlahi,Bhaktapur,11.281350973029854,1
Sarlahi,Chitwan,26.366975728515232,1
Sarlahi,Dhading,9.814725439254415,1
Sarlahi,Dhankuta,9.482005748641706,1
