motif,time,count,delta
0,1,0,10
0,2,3131,10
0,3,6262,10
0,4,9393,10
0,5,11380,10
0,6,0,10
0,7,20,10
0,8,0,10
0,9,0,10
0,10,3514,10
0,11,6338,10
0,12,0,10
1,1,6513,10
1,2,6513,10
1,3,6513,10
1,4,6513,10
1,5,5890,10
1,6,3760,10
1,7,4920,10
1,8,8839,10
1,9,8938,10
1,10,8938,10
1,11,8069,10
1,12,4734,10
2,1,17939,10
2,2,17939,10
2,3,17939,10
2,4,17939,10
2,5,17315,10
2,6,1008,10
2,7,521,10
2,8,11778,10
2,9,5292,10
2,10,5292,10
2,11,9121,10
2,12,26686,10
3,1,13431,10
3,2,10300,10
3,3,7169,10
3,4,4038,10
3,5,965,10
3,6,1916,10
3,7,654,10
3,8,10210,10
3,9,6903,10
3,10,3389,10
3,11,2374,10
3,12,15264,10
4,1,6089,10
4,2,4776,10
4,3,3463,10
4,4,2150,10
4,5,1160,10
4,6,1520,10
4,7,883,10
4,8,11130,10
4,9,8413,10
4,10,5260,10
4,11,1757,10
4,12,5836,10
5,1,416,10
5,2,1729,10
5,3,3042,10
5,4,4355,10
5,5,5561,10
5,6,61,10
5,7,217,10
5,8,318,10
5,9,448,10
5,10,3601,10
5,11,4021,10
5,12,4,10
6,1,3283,10
6,2,2580,10
6,3,1877,10
6,4,1174,10
6,5,533,10
6,6,1935,10
6,7,2146,10
6,8,8287,10
6,9,5968,10
6,10,3229,10
6,11,1616,10
6,12,3553,10
7,1,8285,10
7,2,8285,10
7,3,8285,10
7,4,8285,10
7,5,8556,10
7,6,3949,10
7,7,4652,10
7,8,14931,10
7,9,11686,10
7,10,11686,10
7,11,12091,10
7,12,9448,10
8,1,3463,10
8,2,3463,10
8,3,3463,10
8,4,3463,10
8,5,3753,10
8,6,3393,10
8,7,4667,10
8,8,20195,10
8,9,20352,10
8,10,20352,10
8,11,8857,10
8,12,2061,10
9,1,276,10
9,2,979,10
9,3,1682,10
9,4,2385,10
9,5,3288,10
9,6,440,10
9,7,529,10
9,8,886,10
9,9,1772,10
9,10,4511,10
9,11,3176,10
9,12,207,10
10,1,260,10
10,2,260,10
10,3,260,10
10,4,260,10
10,5,250,10
10,6,650,10
10,7,775,10
10,8,173,10
10,9,346,10
10,10,346,10
10,11,512,10
10,12,174,10
11,1,289,10
11,2,289,10
11,3,289,10
11,4,289,10
11,5,315,10
11,6,640,10
11,7,770,10
11,8,252,10
11,9,454,10
11,10,454,10
11,11,388,10
11,12,217,10
12,1,3838,10
12,2,3838,10
12,3,3838,10
12,4,3838,10
12,5,3899,10
12,6,3007,10
12,7,3634,10
12,8,14734,10
12,9,14824,10
12,10,14824,10
12,11,4239,10
12,12,2944,10
13,1,0,10
13,2,2869,10
13,3,5738,10
13,4,8607,10
13,5,10852,10
13,6,0,10
13,7,76,10
13,8,387,10
13,9,774,10
13,10,9251,10
13,11,7586,10
13,12,0,10
14,1,22033,10
14,2,22142,10
14,3,22251,10
14,4,22360,10
14,5,20889,10
14,6,1306,10
14,7,525,10
14,8,15738,10
14,9,7862,10
14,10,8232,10
14,11,11397,10
14,12,31877,10
15,1,14206,10
15,2,11075,10
15,3,7944,10
15,4,4813,10
15,5,1750,10
15,6,2125,10
15,7,884,10
15,8,11784,10
15,9,8473,10
15,10,4959,10
15,11,771,10
15,12,15977,10
16,1,5616,10
16,2,4325,10
16,3,3034,10
16,4,1743,10
16,5,1021,10
16,6,1415,10
16,7,760,10
16,8,8834,10
16,9,6179,10
16,10,3061,10
16,11,2339,10
16,12,5483,10
17,1,84,10
17,2,1375,10
17,3,2666,10
17,4,3957,10
17,5,4895,10
17,6,0,10
17,7,82,10
17,8,158,10
17,9,220,10
17,10,3338,10
17,11,7045,10
17,12,0,10
18,1,3378,10
18,2,2675,10
18,3,1972,10
18,4,1269,10
18,5,531,10
18,6,3070,10
18,7,3260,10
18,8,8049,10
18,9,5569,10
18,10,2830,10
18,11,818,10
18,12,3653,10
19,1,6691,10
19,2,9169,10
19,3,11647,10
19,4,14125,10
19,5,15391,10
19,6,758,10
19,7,732,10
19,8,9189,10
19,9,4757,10
19,10,8692,10
19,11,11627,10
19,12,9206,10
20,1,372,10
20,2,5628,10
20,3,10884,10
20,4,16140,10
20,5,18684,10
20,6,0,10
20,7,26,10
20,8,0,10
20,9,0,10
20,10,3769,10
20,11,5930,10
20,12,0,10
21,1,3417,10
21,2,3417,10
21,3,3417,10
21,4,3417,10
21,5,3302,10
21,6,2889,10
21,7,3584,10
21,8,2667,10
21,9,2769,10
21,10,2769,10
21,11,1520,10
21,12,2734,10
22,1,3913,10
22,2,3935,10
22,3,3957,10
22,4,3979,10
22,5,3706,10
22,6,2617,10
22,7,3273,10
22,8,4646,10
22,9,4758,10
22,10,4793,10
22,11,5133,10
22,12,2229,10
23,1,3721,10
23,2,3699,10
23,3,3677,10
23,4,3655,10
23,5,3373,10
23,6,2625,10
23,7,3142,10
23,8,5652,10
23,9,5756,10
23,10,5721,10
23,11,5821,10
23,12,2681,10
24,1,4638,10
24,2,4638,10
24,3,4638,10
24,4,4638,10
24,5,4742,10
24,6,3358,10
24,7,4396,10
24,8,14944,10
24,9,15064,10
24,10,15064,10
24,11,4705,10
24,12,2989,10
25,1,11320,10
25,2,8451,10
25,3,5582,10
25,4,2713,10
25,5,152,10
25,6,2817,10
25,7,1230,10
25,8,20213,10
25,9,12201,10
25,10,3724,10
25,11,0,10
25,12,11586,10
26,1,18038,10
26,2,17929,10
26,3,17820,10
26,4,17711,10
26,5,16508,10
26,6,886,10
26,7,502,10
26,8,12407,10
26,9,5599,10
26,10,5229,10
26,11,8759,10
26,12,26750,10
27,1,371,10
27,2,3502,10
27,3,6633,10
27,4,9764,10
27,5,11843,10
27,6,0,10
27,7,34,10
27,8,0,10
27,9,0,10
27,10,3514,10
