motif,time,count,delta
0,1,0,3
0,2,0,3
0,3,0,3
0,4,0,3
0,5,0,3
0,6,0,3
0,7,0,3
0,8,0,3
0,9,0,3
0,10,0,3
0,11,0,3
0,12,0,3
1,1,0,3
1,2,0,3
1,3,0,3
1,4,285,3
1,5,368,3
1,6,155,3
1,7,465,3
1,8,0,3
1,9,0,3
1,10,592,3
1,11,1563,3
1,12,0,3
2,1,9999,3
2,2,9426,3
2,3,4129,3
2,4,1054,3
2,5,190,3
2,6,567,3
2,7,312,3
2,8,11576,3
2,9,4948,3
2,10,1192,3
2,11,897,3
2,12,9999,3
3,1,0,3
3,2,0,3
3,3,393,3
3,4,358,3
3,5,324,3
3,6,178,3
3,7,63,3
3,8,0,3
3,9,1095,3
3,10,1064,3
3,11,396,3
3,12,0,3
4,1,0,3
4,2,13,3
4,3,333,3
4,4,415,3
4,5,379,3
4,6,228,3
4,7,156,3
4,8,345,3
4,9,1499,3
4,10,1717,3
4,11,708,3
4,12,0,3
5,1,0,3
5,2,4,3
5,3,4,3
5,4,4,3
5,5,47,3
5,6,18,3
5,7,39,3
5,8,60,3
5,9,60,3
5,10,60,3
5,11,72,3
5,12,0,3
6,1,0,3
6,2,0,3
6,3,245,3
6,4,282,3
6,5,230,3
6,6,0,3
6,7,0,3
6,8,0,3
6,9,862,3
6,10,816,3
6,11,246,3
6,12,0,3
7,1,2835,3
7,2,2697,3
7,3,1188,3
7,4,464,3
7,5,210,3
7,6,517,3
7,7,1293,3
7,8,6409,3
7,9,2747,3
7,10,1311,3
7,11,1929,3
7,12,2835,3
8,1,0,3
8,2,0,3
8,3,3,3
8,4,289,3
8,5,276,3
8,6,80,3
8,7,240,3
8,8,0,3
8,9,108,3
8,10,1577,3
8,11,1809,3
8,12,0,3
9,1,0,3
9,2,0,3
9,3,0,3
9,4,0,3
9,5,72,3
9,6,0,3
9,7,0,3
9,8,0,3
9,9,0,3
9,10,0,3
9,11,0,3
9,12,0,3
10,1,0,3
10,2,0,3
10,3,0,3
10,4,0,3
10,5,56,3
10,6,0,3
10,7,0,3
10,8,0,3
10,9,0,3
10,10,0,3
10,11,0,3
10,12,0,3
11,1,0,3
11,2,0,3
11,3,2,3
11,4,4,3
11,5,64,3
11,6,0,3
11,7,0,3
11,8,0,3
11,9,6,3
11,10,12,3
11,11,0,3
11,12,0,3
12,1,0,3
12,2,0,3
12,3,103,3
12,4,421,3
12,5,641,3
12,6,114,3
12,7,261,3
12,8,0,3
12,9,431,3
12,10,1682,3
12,11,966,3
12,12,0,3
13,1,0,3
13,2,0,3
13,3,0,3
13,4,0,3
13,5,0,3
13,6,0,3
13,7,0,3
13,8,0,3
13,9,0,3
13,10,0,3
13,11,0,3
13,12,0,3
14,1,13332,3
14,2,12395,3
14,3,5987,3
14,4,1801,3
14,5,99,3
14,6,903,3
14,7,321,3
14,8,15485,3
14,9,7421,3
14,10,2229,3
14,11,1044,3
14,12,13332,3
15,1,0,3
15,2,0,3
15,3,559,3
15,4,690,3
15,5,623,3
15,6,230,3
15,7,141,3
15,8,0,3
15,9,1357,3
15,10,1588,3
15,11,348,3
15,12,0,3
16,1,0,3
16,2,12,3
16,3,246,3
16,4,242,3
16,5,141,3
16,6,182,3
16,7,75,3
16,8,329,3
16,9,1088,3
16,10,911,3
16,11,315,3
16,12,0,3
17,1,0,3
17,2,0,3
17,3,0,3
17,4,0,3
17,5,21,3
17,6,0,3
17,7,0,3
17,8,9,3
17,9,6,3
17,10,3,3
17,11,147,3
17,12,0,3
18,1,0,3
18,2,0,3
18,3,259,3
18,4,310,3
18,5,216,3
18,6,0,3
18,7,0,3
18,8,0,3
18,9,848,3
18,10,788,3
18,11,186,3
18,12,0,3
19,1,3780,3
19,2,3646,3
19,3,1811,3
19,4,606,3
19,5,19,3
19,6,297,3
19,7,402,3
19,8,8765,3
19,9,4138,3
19,10,1221,3
19,11,315,3
19,12,3780,3
20,1,0,3
20,2,0,3
20,3,0,3
20,4,0,3
20,5,0,3
20,6,0,3
20,7,0,3
20,8,0,3
20,9,0,3
20,10,0,3
20,11,0,3
20,12,0,3
21,1,0,3
21,2,0,3
21,3,9,3
21,4,43,3
21,5,452,3
21,6,28,3
21,7,63,3
21,8,0,3
21,9,72,3
21,10,285,3
21,11,324,3
21,12,0,3
22,1,0,3
22,2,0,3
22,3,39,3
22,4,176,3
22,5,380,3
22,6,308,3
22,7,654,3
22,8,0,3
22,9,120,3
22,10,506,3
22,11,1164,3
22,12,0,3
23,1,0,3
23,2,0,3
23,3,86,3
23,4,270,3
23,5,563,3
23,6,204,3
23,7,498,3
23,8,9,3
23,9,262,3
23,10,781,3
23,11,1419,3
23,12,0,3
24,1,0,3
24,2,0,3
24,3,118,3
24,4,451,3
24,5,702,3
24,6,126,3
24,7,279,3
24,8,0,3
24,9,500,3
24,10,1820,3
24,11,1221,3
24,12,0,3
25,1,0,3
25,2,12,3
25,3,521,3
25,4,464,3
25,5,38,3
25,6,160,3
25,7,0,3
25,8,266,3
25,9,2073,3
25,10,1158,3
25,11,0,3
25,12,0,3
26,1,9999,3
26,2,9376,3
26,3,4022,3
26,4,890,3
26,5,65,3
26,6,547,3
26,7,216,3
26,8,12030,3
26,9,5128,3
26,10,1098,3
26,11,1014,3
26,12,9999,3
27,1,0,3
27,2,0,3
27,3,0,3
27,4,0,3
27,5,0,3
27,6,0,3
27,7,0,3
27,8,0,3
27,9,0,3
27,10,0,3
27,11,0,3
27,12,0,3
28,1,405,3
28,2,373,3
28,3,119,3
28,4,0,3
28,5,5,3
28,6,21,3
28,7,21,3
28,8,482,3
28,9,145,3
28,10,0,3
28,11,27,3
28,12,405,3
29,1,0,3
29,2,0,3
29,3,0,3
29,4,16,3
29,5,10,3
29,6,4,3
29,7,12,3
29,8,0,3
29,9,0,3
29,10,45,3
29,11,60,3
29,12,0,3
30,1,0,3
30,2,0,3
30,3,0,3
30,4,0,3
30,5,92,3
30,6,0,3
30,7,0,3
30,8,0,3
30,9,0,3
30,10,0,3
30,11,0,3
30,12,0,3
31,1,2835,3
31,2,2850,3
31,3,1572,3
31,4,614,3
31,5,30,3
31,6,1020,3
31,7,345,3
31,8,6807,3
31,9,3840,3
31,10,1551,3
31,11,123,3
31,12,2835,3
32,1,0,3
32,2,0,3
32,3,535,3
32,4,500,3
32,5,4,3
32,6,310,3
32,7,0,3
32,8,6,3
32,9,1061,3
32,10,932,3
32,11,0,3
32,12,0,3
33,1,0,3
33,2,0,3
33,3,16,3
33,4,57,3
33,5,407,3
33,6,28,3
33,7,63,3
33,8,0,3
33,9,69,3
33,10,279,3
33,11,324,3
33,12,0,3
34,1,0,3
34,2,0,3
34,3,0,3
34,4,0,3
34,5,0,3
34,6,0,3
34,7,0,3
34,8,0,3
34,9,0,3
34,10,0,3
34,11,0,3
34,12,0,3
35,1,0,3
35,2,0,3
35,3,26,3
35,4,20,3
35,5,2,3
35,6,8,3
35,7,0,3
35,8,0,3
35,9,65,3
35,10,40,3
35,11,0,3
35,12,0,3
