motif,time,count,delta
0,1,0,6
0,2,0,6
0,3,0,6
0,4,0,6
0,5,0,6
0,6,0,6
0,7,0,6
0,8,0,6
0,9,0,6
0,10,0,6
0,11,0,6
0,12,0,6
1,1,285,6
1,2,413,6
1,3,1902,6
1,4,4752,6
1,5,5854,6
1,6,930,6
1,7,1213,6
1,8,1776,6
1,9,3552,6
1,10,5920,6
1,11,7755,6
1,12,0,6
2,1,16945,6
2,2,9426,6
2,3,4129,6
2,4,1054,6
2,5,821,6
2,6,1008,6
2,7,468,6
2,8,11576,6
2,9,4948,6
2,10,1192,6
2,11,4114,6
2,12,26686,6
3,1,1642,6
3,2,3972,6
3,3,4662,6
3,4,3712,6
3,5,917,6
3,6,668,6
3,7,278,6
3,8,4974,6
3,9,4380,6
3,10,2660,6
3,11,796,6
3,12,1035,6
4,1,1144,6
4,2,1852,6
4,3,2028,6
4,4,1672,6
4,5,1160,6
4,6,720,6
4,7,453,6
4,8,5586,6
4,9,5336,6
4,10,4150,6
4,11,1574,6
4,12,663,6
5,1,4,6
5,2,4,6
5,3,4,6
5,4,4,6
5,5,565,6
5,6,61,6
5,7,61,6
5,8,60,6
5,9,60,6
5,10,60,6
5,11,352,6
5,12,4,6
6,1,906,6
6,2,1229,6
6,3,1270,6
6,4,1029,6
6,5,533,6
6,6,387,6
6,7,724,6
6,8,3948,6
6,9,3448,6
6,10,2040,6
6,11,490,6
6,12,557,6
7,1,5024,6
7,2,2906,6
7,3,1934,6
7,4,2108,6
7,5,3288,6
7,6,2299,6
7,7,2382,6
7,8,8287,6
7,9,6173,6
7,10,6285,6
7,11,8811,6
7,12,7638,6
8,1,289,6
8,2,289,6
8,3,881,6
8,4,2065,6
8,5,3753,6
8,6,447,6
8,7,756,6
8,8,4407,6
8,9,8598,6
8,10,14150,6
8,11,8615,6
8,12,3,6
9,1,0,6
9,2,69,6
9,3,138,6
9,4,207,6
9,5,288,6
9,6,88,6
9,7,176,6
9,8,0,6
9,9,0,6
9,10,0,6
9,11,0,6
9,12,0,6
10,1,0,6
10,2,58,6
10,3,116,6
10,4,174,6
10,5,250,6
10,6,130,6
10,7,260,6
10,8,0,6
10,9,0,6
10,10,0,6
10,11,0,6
10,12,0,6
11,1,4,6
11,2,75,6
11,3,146,6
11,4,217,6
11,5,255,6
11,6,128,6
11,7,256,6
11,8,18,6
11,9,24,6
11,10,30,6
11,11,10,6
11,12,2,6
12,1,421,6
12,2,699,6
12,3,1540,6
12,4,2944,6
12,5,3899,6
12,6,543,6
12,7,838,6
12,8,3753,6
12,9,6644,6
12,10,10355,6
12,11,4127,6
12,12,103,6
13,1,0,6
13,2,0,6
13,3,0,6
13,4,0,6
13,5,0,6
13,6,0,6
13,7,0,6
13,8,0,6
13,9,0,6
13,10,0,6
13,11,0,6
13,12,0,6
14,1,21025,6
14,2,12395,6
14,3,5987,6
14,4,1801,6
14,5,353,6
14,6,1306,6
14,7,460,6
14,8,15485,6
14,9,7421,6
14,10,2229,6
14,11,4074,6
14,12,31877,6
15,1,1974,6
15,2,4431,6
15,3,5248,6
15,4,4425,6
15,5,1750,6
15,6,793,6
15,7,424,6
15,8,5760,6
15,9,5428,6
15,10,3970,6
15,11,713,6
15,12,1201,6
16,1,971,6
16,2,1619,6
16,3,1735,6
16,4,1319,6
16,5,421,6
16,6,607,6
16,7,342,6
16,8,4385,6
16,9,3740,6
16,10,2159,6
16,11,619,6
16,12,584,6
17,1,0,6
17,2,0,6
17,3,0,6
17,4,0,6
17,5,35,6
17,6,0,6
17,7,0,6
17,8,9,6
17,9,6,6
17,10,3,6
17,11,299,6
17,12,0,6
18,1,934,6
18,2,1281,6
18,3,1346,6
18,4,1129,6
18,5,531,6
18,6,614,6
18,7,1178,6
18,8,3906,6
18,9,3392,6
18,10,1970,6
18,11,388,6
18,12,571,6
19,1,6111,6
19,2,3646,6
19,3,1811,6
19,4,606,6
19,5,569,6
19,6,758,6
19,7,620,6
19,8,8765,6
19,9,4138,6
19,10,1221,6
19,11,957,6
19,12,9206,6
20,1,0,6
20,2,0,6
20,3,0,6
20,4,0,6
20,5,372,6
20,6,0,6
20,7,0,6
20,8,0,6
20,9,0,6
20,10,0,6
20,11,0,6
20,12,0,6
21,1,43,6
21,2,486,6
21,3,1383,6
21,4,2734,6
21,5,3302,6
21,6,461,6
21,7,912,6
21,8,639,6
21,9,1134,6
21,10,1770,6
21,11,1316,6
21,12,9,6
22,1,176,6
22,2,393,6
22,3,1078,6
22,4,2231,6
22,5,3588,6
22,6,1143,6
22,7,1333,6
22,8,1158,6
22,9,2076,6
22,10,3260,6
22,11,4599,6
22,12,39,6
23,1,270,6
23,2,607,6
23,3,1412,6
23,4,2685,6
23,5,3339,6
23,6,1159,6
23,7,1347,6
23,8,1575,6
23,9,2626,6
23,10,3943,6
23,11,5271,6
23,12,85,6
24,1,451,6
24,2,736,6
24,3,1584,6
24,4,2995,6
24,5,4742,6
24,6,610,6
24,7,976,6
24,8,3960,6
24,9,6920,6
24,10,10700,6
24,11,4533,6
24,12,117,6
25,1,2180,6
25,2,3372,6
25,3,3380,6
25,4,2204,6
25,5,152,6
25,6,861,6
25,7,441,6
25,8,10169,6
25,9,7893,6
25,10,2895,6
25,11,0,6
25,12,1354,6
26,1,16952,6
26,2,9376,6
26,3,4022,6
26,4,890,6
26,5,196,6
26,6,886,6
26,7,316,6
26,8,12030,6
26,9,5128,6
26,10,1098,6
26,11,3918,6
26,12,26750,6
27,1,0,6
27,2,0,6
27,3,0,6
27,4,0,6
27,5,343,6
27,6,0,6
27,7,0,6
27,8,0,6
27,9,0,6
27,10,0,6
27,11,0,6
27,12,0,6
28,1,762,6
28,2,373,6
28,3,119,6
28,4,0,6
28,5,17,6
28,6,62,6
28,7,36,6
28,8,482,6
28,9,145,6
28,10,0,6
28,11,135,6
28,12,1286,6
29,1,16,6
29,2,16,6
29,3,61,6
29,4,151,6
29,5,208,6
29,6,24,6
29,7,40,6
29,8,135,6
29,9,270,6
29,10,450,6
29,11,295,6
29,12,0,6
30,1,0,6
30,2,130,6
30,3,260,6
30,4,390,6
30,5,404,6
30,6,68,6
30,7,136,6
30,8,0,6
30,9,0,6
30,10,0,6
30,11,0,6
30,12,0,6
31,1,6305,6
31,2,5284,6
31,3,3861,6
31,4,2036,6
31,5,246,6
31,6,2383,6
31,7,663,6
31,8,11331,6
31,9,6816,6
31,10,2979,6
31,11,560,6
31,12,8643,6
32,1,2210,6
32,2,5549,6
32,3,6166,6
32,4,4061,6
32,5,22,6
32,6,977,6
32,7,0,6
32,8,4956,6
32,9,4235,6
32,10,2330,6
32,11,0,6
32,12,1390,6
33,1,57,6
33,2,600,6
33,3,1597,6
33,4,3048,6
33,5,3177,6
33,6,328,6
33,7,614,6
33,8,630,6
33,9,1122,6
33,10,1755,6
33,11,1329,6
33,12,16,6
34,1,0,6
34,2,0,6
34,3,0,6
34,4,0,6
34,5,0,6
34,6,0,6
34,7,0,6
34,8,0,6
34,9,0,6
34,10,0,6
34,11,0,6
34,12,0,6
35,1,116,6
35,2,217,6
35,3,228,6
35,4,149,6
35,5,8,6
35,6,32,6
35,7,0,6
35,8,330,6
35,9,260,6
35,10,100,6
35,11,0,6
35,12,74,6
