motif,time,count,delta
0,1,233,5
0,2,240,5
0,3,183,5
0,4,183,5
0,5,172,5
0,6,167,5
0,7,161,5
0,8,167,5
0,9,156,5
0,10,157,5
0,11,209,5
0,12,208,5
1,1,555,5
1,2,555,5
1,3,436,5
1,4,422,5
1,5,415,5
1,6,415,5
1,7,415,5
1,8,415,5
1,9,415,5
1,10,415,5
1,11,505,5
1,12,525,5
2,1,2254,5
2,2,2240,5
2,3,2034,5
2,4,2029,5
2,5,2026,5
2,6,2025,5
2,7,2043,5
2,8,2079,5
2,9,2133,5
2,10,2133,5
2,11,2354,5
2,12,2292,5
3,1,194,5
3,2,187,5
3,3,147,5
3,4,147,5
3,5,158,5
3,6,163,5
3,7,169,5
3,8,163,5
3,9,174,5
3,10,173,5
3,11,218,5
3,12,219,5
4,1,339,5
4,2,317,5
4,3,311,5
4,4,311,5
4,5,311,5
4,6,341,5
4,7,369,5
4,8,395,5
4,9,419,5
4,10,411,5
4,11,389,5
4,12,363,5
5,1,322,5
5,2,296,5
5,3,290,5
5,4,290,5
5,5,290,5
5,6,308,5
5,7,328,5
5,8,350,5
5,9,374,5
5,10,382,5
5,11,368,5
5,12,346,5
6,1,28,5
6,2,28,5
6,3,49,5
6,4,49,5
6,5,46,5
6,6,44,5
6,7,24,5
6,8,25,5
6,9,23,5
6,10,24,5
6,11,25,5
6,12,24,5
7,1,558,5
7,2,558,5
7,3,504,5
7,4,498,5
7,5,495,5
7,6,495,5
7,7,456,5
7,8,468,5
7,9,486,5
7,10,486,5
7,11,561,5
7,12,555,5
8,1,362,5
8,2,360,5
8,3,465,5
8,4,465,5
8,5,465,5
8,6,465,5
8,7,366,5
8,8,378,5
8,9,396,5
8,10,396,5
8,11,384,5
8,12,370,5
9,1,22,5
9,2,22,5
9,3,37,5
9,4,37,5
9,5,40,5
9,6,42,5
9,7,26,5
9,8,25,5
9,9,27,5
9,10,26,5
9,11,25,5
9,12,26,5
10,1,0,5
10,2,0,5
10,3,0,5
10,4,0,5
10,5,0,5
10,6,0,5
10,7,0,5
10,8,0,5
10,9,0,5
10,10,0,5
10,11,0,5
10,12,0,5
11,1,0,5
11,2,0,5
11,3,0,5
11,4,0,5
11,5,0,5
11,6,0,5
11,7,0,5
11,8,0,5
11,9,0,5
11,10,0,5
11,11,0,5
11,12,0,5
12,1,184,5
12,2,170,5
12,3,165,5
12,4,165,5
12,5,165,5
12,6,167,5
12,7,172,5
12,8,180,5
12,9,191,5
12,10,203,5
12,11,203,5
12,12,195,5
13,1,503,5
13,2,475,5
13,3,507,5
13,4,486,5
13,5,472,5
13,6,469,5
13,7,479,5
13,8,495,5
13,9,517,5
13,10,541,5
13,11,541,5
13,12,525,5
14,1,2588,5
14,2,2485,5
14,3,2442,5
14,4,2436,5
14,5,2432,5
14,6,2437,5
14,7,2462,5
14,8,2505,5
14,9,2566,5
14,10,2638,5
14,11,2812,5
14,12,2697,5
15,1,184,5
15,2,170,5
15,3,165,5
15,4,165,5
15,5,165,5
15,6,167,5
15,7,172,5
15,8,180,5
15,9,191,5
15,10,203,5
15,11,203,5
15,12,195,5
16,1,346,5
16,2,345,5
16,3,305,5
16,4,305,5
16,5,305,5
16,6,326,5
16,7,342,5
16,8,353,5
16,9,359,5
16,10,339,5
16,11,363,5
16,12,352,5
17,1,385,5
17,2,361,5
17,3,299,5
17,4,299,5
17,5,299,5
17,6,303,5
17,7,312,5
17,8,326,5
17,9,345,5
17,10,365,5
17,11,418,5
17,12,404,5
18,1,40,5
18,2,44,5
18,3,42,5
18,4,39,5
18,5,35,5
18,6,30,5
18,7,30,5
18,8,30,5
18,9,30,5
18,10,31,5
18,11,33,5
18,12,36,5
19,1,606,5
19,2,582,5
19,3,594,5
19,4,576,5
19,5,558,5
19,6,546,5
19,7,558,5
19,8,576,5
19,9,600,5
19,10,627,5
19,11,657,5
19,12,630,5
20,1,541,5
20,2,563,5
20,3,549,5
20,4,528,5
20,5,500,5
20,6,465,5
20,7,465,5
20,8,465,5
20,9,465,5
20,10,472,5
20,11,522,5
20,12,525,5
21,1,40,5
21,2,44,5
21,3,42,5
21,4,39,5
21,5,35,5
21,6,30,5
21,7,30,5
21,8,30,5
21,9,30,5
21,10,31,5
21,11,33,5
21,12,36,5
22,1,403,5
22,2,402,5
22,3,332,5
22,4,332,5
22,5,332,5
22,6,345,5
22,7,355,5
22,8,362,5
22,9,366,5
22,10,354,5
22,11,414,5
22,12,407,5
23,1,492,5
23,2,478,5
23,3,374,5
23,4,374,5
23,5,374,5
23,6,376,5
23,7,381,5
23,8,389,5
23,9,400,5
23,10,412,5
23,11,511,5
23,12,503,5
24,1,177,5
24,2,202,5
24,3,165,5
24,4,201,5
24,5,201,5
24,6,181,5
24,7,230,5
24,8,204,5
24,9,247,5
24,10,162,5
24,11,152,5
24,12,177,5
25,1,362,5
25,2,360,5
25,3,444,5
25,4,423,5
25,5,395,5
25,6,386,5
25,7,406,5
25,8,420,5
25,9,428,5
25,10,404,5
25,11,384,5
25,12,370,5
26,1,2118,5
26,2,2025,5
26,3,2034,5
26,4,2029,5
26,5,2026,5
26,6,2108,5
26,7,2173,5
26,8,2220,5
26,9,2249,5
26,10,2177,5
26,11,2322,5
26,12,2217,5
27,1,170,5
27,2,140,5
27,3,176,5
27,4,140,5
27,5,140,5
27,6,189,5
27,7,163,5
27,8,206,5
27,9,174,5
27,10,235,5
27,11,223,5
27,12,181,5
28,1,260,5
28,2,260,5
28,3,266,5
28,4,262,5
28,5,260,5
28,6,260,5
28,7,260,5
28,8,260,5
28,9,260,5
28,10,260,5
28,11,269,5
28,12,263,5
29,1,25,5
29,2,20,5
29,3,25,5
29,4,20,5
29,5,20,5
29,6,25,5
29,7,20,5
29,8,25,5
29,9,20,5
29,10,30,5
29,11,30,5
29,12,25,5
30,1,46,5
30,2,52,5
30,3,42,5
30,4,45,5
30,5,43,5
30,6,36,5
30,7,42,5
30,8,36,5
30,9,42,5
30,10,34,5
30,11,37,5
30,12,48,5
31,1,510,5
31,2,468,5
31,3,495,5
31,4,480,5
31,5,465,5
31,6,474,5
31,7,492,5
31,8,504,5
31,9,510,5
31,10,498,5
31,11,561,5
31,12,537,5
32,1,525,5
32,2,457,5
32,3,436,5
32,4,422,5
32,5,415,5
32,6,415,5
32,7,415,5
32,8,415,5
32,9,415,5
32,10,443,5
32,11,548,5
32,12,546,5
33,1,50,5
33,2,36,5
33,3,39,5
33,4,31,5
33,5,30,5
33,6,36,5
33,7,30,5
33,8,36,5
33,9,30,5
33,10,47,5
33,11,51,5
33,12,45,5
34,1,33,5
34,2,28,5
34,3,33,5
34,4,28,5
34,5,26,5
34,6,30,5
34,7,24,5
34,8,30,5
34,9,23,5
34,10,34,5
34,11,35,5
34,12,29,5
35,1,28,5
35,2,28,5
35,3,28,5
35,4,28,5
35,5,26,5
35,6,25,5
35,7,24,5
35,8,25,5
35,9,23,5
35,10,24,5
35,11,25,5
35,12,24,5
