motif,time,count,delta
0,1,0,2
0,2,0,2
0,3,0,2
0,4,0,2
0,5,0,2
0,6,0,2
0,7,0,2
0,8,0,2
0,9,0,2
0,10,0,2
0,11,0,2
0,12,0,2
1,1,0,2
1,2,0,2
1,3,0,2
1,4,0,2
1,5,256,2
1,6,0,2
1,7,155,2
1,8,0,2
1,9,0,2
1,10,0,2
1,11,521,2
1,12,0,2
2,1,4444,2
2,2,4444,2
2,3,4129,2
2,4,1054,2
2,5,89,2
2,6,400,2
2,7,135,2
2,8,5744,2
2,9,4948,2
2,10,1192,2
2,11,324,2
2,12,4444,2
3,1,0,2
3,2,0,2
3,3,0,2
3,4,179,2
3,5,62,2
3,6,89,2
3,7,42,2
3,8,0,2
3,9,0,2
3,10,532,2
3,11,264,2
3,12,0,2
4,1,0,2
4,2,0,2
4,3,8,2
4,4,209,2
4,5,161,2
4,6,110,2
4,7,96,2
4,8,0,2
4,9,220,2
4,10,906,2
4,11,450,2
4,12,0,2
5,1,0,2
5,2,0,2
5,3,4,2
5,4,4,2
5,5,25,2
5,6,5,2
5,7,18,2
5,8,0,2
5,9,60,2
5,10,60,2
5,11,26,2
5,12,0,2
6,1,0,2
6,2,0,2
6,3,0,2
6,4,141,2
6,5,116,2
6,6,0,2
6,7,0,2
6,8,0,2
6,9,0,2
6,10,408,2
6,11,164,2
6,12,0,2
7,1,1260,2
7,2,1260,2
7,3,1177,2
7,4,298,2
7,5,179,2
7,6,71,2
7,7,446,2
7,8,3420,2
7,9,2637,2
7,10,685,2
7,11,700,2
7,12,1260,2
8,1,0,2
8,2,0,2
8,3,0,2
8,4,3,2
8,5,276,2
8,6,0,2
8,7,80,2
8,8,0,2
8,9,0,2
8,10,108,2
8,11,603,2
8,12,0,2
9,1,0,2
9,2,0,2
9,3,0,2
9,4,0,2
9,5,0,2
9,6,0,2
9,7,0,2
9,8,0,2
9,9,0,2
9,10,0,2
9,11,0,2
9,12,0,2
10,1,0,2
10,2,0,2
10,3,0,2
10,4,0,2
10,5,0,2
10,6,0,2
10,7,0,2
10,8,0,2
10,9,0,2
10,10,0,2
10,11,0,2
10,12,0,2
11,1,0,2
11,2,0,2
11,3,0,2
11,4,2,2
11,5,0,2
11,6,0,2
11,7,0,2
11,8,0,2
11,9,0,2
11,10,6,2
11,11,0,2
11,12,0,2
12,1,0,2
12,2,0,2
12,3,0,2
12,4,103,2
12,5,361,2
12,6,27,2
12,7,114,2
12,8,0,2
12,9,0,2
12,10,431,2
12,11,401,2
12,12,0,2
13,1,0,2
13,2,0,2
13,3,0,2
13,4,0,2
13,5,0,2
13,6,0,2
13,7,0,2
13,8,0,2
13,9,0,2
13,10,0,2
13,11,0,2
13,12,0,2
14,1,6666,2
14,2,6666,2
14,3,5987,2
14,4,1801,2
14,5,73,2
14,6,733,2
14,7,165,2
14,8,8616,2
14,9,7421,2
14,10,2229,2
14,11,474,2
14,12,6666,2
15,1,0,2
15,2,0,2
15,3,0,2
15,4,345,2
15,5,146,2
15,6,115,2
15,7,94,2
15,8,0,2
15,9,0,2
15,10,794,2
15,11,232,2
15,12,0,2
16,1,0,2
16,2,0,2
16,3,7,2
16,4,122,2
16,5,50,2
16,6,91,2
16,7,50,2
16,8,0,2
16,9,204,2
16,10,495,2
16,11,210,2
16,12,0,2
17,1,0,2
17,2,0,2
17,3,0,2
17,4,0,2
17,5,14,2
17,6,0,2
17,7,0,2
17,8,0,2
17,9,6,2
17,10,3,2
17,11,98,2
17,12,0,2
18,1,0,2
18,2,0,2
18,3,0,2
18,4,155,2
18,5,92,2
18,6,0,2
18,7,0,2
18,8,0,2
18,9,0,2
18,10,394,2
18,11,124,2
18,12,0,2
19,1,1890,2
19,2,1890,2
19,3,1811,2
19,4,606,2
19,5,9,2
19,6,148,2
19,7,185,2
19,8,5130,2
19,9,4138,2
19,10,1221,2
19,11,177,2
19,12,1890,2
20,1,0,2
20,2,0,2
20,3,0,2
20,4,0,2
20,5,0,2
20,6,0,2
20,7,0,2
20,8,0,2
20,9,0,2
20,10,0,2
20,11,0,2
20,12,0,2
21,1,0,2
21,2,0,2
21,3,0,2
21,4,9,2
21,5,26,2
21,6,7,2
21,7,28,2
21,8,0,2
21,9,0,2
21,10,72,2
21,11,144,2
21,12,0,2
22,1,0,2
22,2,0,2
22,3,0,2
22,4,39,2
22,5,174,2
22,6,90,2
22,7,308,2
22,8,0,2
22,9,0,2
22,10,120,2
22,11,504,2
22,12,0,2
23,1,0,2
23,2,0,2
23,3,0,2
23,4,86,2
23,5,256,2
23,6,38,2
23,7,204,2
23,8,0,2
23,9,6,2
23,10,259,2
23,11,674,2
23,12,0,2
24,1,0,2
24,2,0,2
24,3,0,2
24,4,118,2
24,5,403,2
24,6,33,2
24,7,126,2
24,8,0,2
24,9,0,2
24,10,500,2
24,11,571,2
24,12,0,2
25,1,0,2
25,2,0,2
25,3,6,2
25,4,232,2
25,5,0,2
25,6,80,2
25,7,0,2
25,8,0,2
25,9,133,2
25,10,579,2
25,11,0,2
25,12,0,2
26,1,4444,2
26,2,4444,2
26,3,4022,2
26,4,890,2
26,5,35,2
26,6,402,2
26,7,95,2
26,8,5744,2
26,9,5128,2
26,10,1098,2
26,11,454,2
26,12,4444,2
27,1,0,2
27,2,0,2
27,3,0,2
27,4,0,2
27,5,0,2
27,6,0,2
27,7,0,2
27,8,0,2
27,9,0,2
27,10,0,2
27,11,0,2
27,12,0,2
28,1,135,2
28,2,135,2
28,3,119,2
28,4,0,2
28,5,3,2
28,6,7,2
28,7,7,2
28,8,192,2
28,9,145,2
28,10,0,2
28,11,9,2
28,12,135,2
29,1,0,2
29,2,0,2
29,3,0,2
29,4,0,2
29,5,10,2
29,6,0,2
29,7,4,2
29,8,0,2
29,9,0,2
29,10,0,2
29,11,20,2
29,12,0,2
30,1,0,2
30,2,0,2
30,3,0,2
30,4,0,2
30,5,0,2
30,6,0,2
30,7,0,2
30,8,0,2
30,9,0,2
30,10,0,2
30,11,0,2
30,12,0,2
31,1,1260,2
31,2,1260,2
31,3,1263,2
31,4,460,2
31,5,1,2
31,6,489,2
31,7,147,2
31,8,3420,2
31,9,2848,2
31,10,1075,2
31,11,49,2
31,12,1260,2
32,1,0,2
32,2,0,2
32,3,0,2
32,4,250,2
32,5,0,2
32,6,155,2
32,7,0,2
32,8,0,2
32,9,3,2
32,10,466,2
32,11,0,2
32,12,0,2
33,1,0,2
33,2,0,2
33,3,0,2
33,4,16,2
33,5,22,2
33,6,7,2
33,7,28,2
33,8,0,2
33,9,0,2
33,10,69,2
33,11,144,2
33,12,0,2
34,1,0,2
34,2,0,2
34,3,0,2
34,4,0,2
34,5,0,2
34,6,0,2
34,7,0,2
34,8,0,2
34,9,0,2
34,10,0,2
34,11,0,2
34,12,0,2
35,1,0,2
35,2,0,2
35,3,0,2
35,4,10,2
35,5,0,2
35,6,4,2
35,7,0,2
35,8,0,2
35,9,0,2
35,10,20,2
35,11,0,2
35,12,0,2
