motif,time,count,delta
0,1,0,5
0,2,0,5
0,3,0,5
0,4,0,5
0,5,0,5
0,6,0,5
0,7,0,5
0,8,0,5
0,9,0,5
0,10,0,5
0,11,0,5
0,12,0,5
1,1,0,5
1,2,285,5
1,3,413,5
1,4,1902,5
1,5,4279,5
1,6,930,5
1,7,930,5
1,8,592,5
1,9,1776,5
1,10,3552,5
1,11,5210,5
1,12,0,5
2,1,16945,5
2,2,9426,5
2,3,4129,5
2,4,1054,5
2,5,557,5
2,6,1008,5
2,7,468,5
2,8,11576,5
2,9,4948,5
2,10,1192,5
2,11,2865,5
2,12,26646,5
3,1,821,5
3,2,1214,5
3,3,2724,5
3,4,2594,5
3,5,848,5
3,6,356,5
3,7,181,5
3,8,3316,5
3,9,3285,5
3,10,2128,5
3,11,660,5
3,12,0,5
4,1,581,5
4,2,901,5
4,3,1343,5
4,4,1253,5
4,5,863,5
4,6,520,5
4,7,351,5
4,8,3839,5
4,9,4057,5
4,10,3339,5
4,11,1290,5
4,12,23,5
5,1,4,5
5,2,4,5
5,3,4,5
5,4,4,5
5,5,139,5
5,6,61,5
5,7,61,5
5,8,60,5
5,9,60,5
5,10,60,5
5,11,230,5
5,12,4,5
6,1,453,5
6,2,698,5
6,3,880,5
6,4,780,5
6,5,458,5
6,6,0,5
6,7,362,5
6,8,2632,5
6,9,2586,5
6,10,1632,5
6,11,410,5
6,12,0,5
7,1,4858,5
7,2,2874,5
7,3,1386,5
7,4,1044,5
7,5,1814,5
7,6,2274,5
7,7,2202,5
7,8,7145,5
7,9,4515,5
7,10,4111,5
7,11,6145,5
7,12,7587,5
8,1,3,5
8,2,289,5
8,3,289,5
8,4,881,5
8,5,2214,5
8,6,423,5
8,7,447,5
8,8,1577,5
8,9,4407,5
8,10,8598,5
8,11,6030,5
8,12,0,5
9,1,0,5
9,2,0,5
9,3,69,5
9,4,138,5
9,5,216,5
9,6,0,5
9,7,88,5
9,8,0,5
9,9,0,5
9,10,0,5
9,11,0,5
9,12,0,5
10,1,0,5
10,2,0,5
10,3,58,5
10,4,116,5
10,5,168,5
10,6,0,5
10,7,130,5
10,8,0,5
10,9,0,5
10,10,0,5
10,11,0,5
10,12,0,5
11,1,2,5
11,2,4,5
11,3,75,5
11,4,146,5
11,5,192,5
11,6,0,5
11,7,128,5
11,8,12,5
11,9,18,5
11,10,24,5
11,11,0,5
11,12,0,5
12,1,103,5
12,2,421,5
12,3,699,5
12,4,1540,5
12,5,2938,5
12,6,462,5
12,7,543,5
12,8,1682,5
12,9,3753,5
12,10,6644,5
12,11,2825,5
12,12,0,5
13,1,0,5
13,2,0,5
13,3,0,5
13,4,0,5
13,5,0,5
13,6,0,5
13,7,0,5
