motif,time,count,delta
0,1,0,8
0,2,0,8
0,3,0,8
0,4,3131,8
0,5,5690,8
0,6,0,8
0,7,0,8
0,8,0,8
0,9,0,8
0,10,0,8
0,11,0,8
0,12,0,8
1,1,1902,8
1,2,4752,8
1,3,6513,8
1,4,6513,8
1,5,5860,8
1,6,1779,8
1,7,2628,8
1,8,5920,8
1,9,8820,8
1,10,8839,8
1,11,7892,8
1,12,413,8
2,1,16945,8
2,2,9426,8
2,3,4679,8
2,4,4679,8
2,5,5026,8
2,6,1008,8
2,7,468,8
2,8,11576,8
2,9,4969,8
2,10,1282,8
2,11,4197,8
2,12,26686,8
3,1,8798,8
3,2,9488,8
3,3,7169,8
3,4,4038,8
3,5,941,8
3,6,1292,8
3,7,472,8
3,8,8290,8
3,9,6609,8
3,10,3302,8
3,11,1050,8
3,12,6468,8
4,1,3578,8
4,2,3754,8
4,3,3463,8
4,4,2150,8
4,5,1160,8
4,6,1120,8
4,7,657,8
4,8,9080,8
4,9,7797,8
4,10,5080,8
4,11,1754,8
4,12,2870,8
5,1,4,8
5,2,4,8
5,3,416,8
5,4,1729,8
5,5,3063,8
5,6,61,8
5,7,61,8
5,8,60,8
5,9,188,8
5,10,318,8
5,11,400,8
5,12,4,8
6,1,2250,8
6,2,2291,8
6,3,1877,8
6,4,1174,8
6,5,533,8
6,6,1161,8
6,7,1448,8
6,8,6580,8
6,9,5156,8
6,10,2837,8
6,11,1616,8
6,12,1927,8
7,1,5604,8
7,2,4518,8
7,3,4549,8
7,4,4549,8
7,5,4638,8
7,6,2814,8
7,7,3207,8
7,8,12119,8
7,9,10858,8
7,10,8907,8
7,11,9247,8
7,12,7836,8
8,1,881,8
8,2,2065,8
8,3,3463,8
8,4,3463,8
8,5,3753,8
8,6,1350,8
8,7,2229,8
8,8,14150,8
8,9,20193,8
8,10,20195,8
8,11,8854,8
8,12,289,8
9,1,138,8
9,2,207,8
9,3,276,8
9,4,979,8
9,5,1788,8
9,6,264,8
9,7,352,8
9,8,0,8
9,9,0,8
9,10,886,8
9,11,1034,8
9,12,69,8
10,1,116,8
10,2,174,8
10,3,260,8
10,4,260,8
10,5,250,8
10,6,390,8
10,7,520,8
10,8,0,8
10,9,0,8
10,10,173,8
10,11,512,8
10,12,58,8
11,1,146,8
11,2,217,8
11,3,289,8
11,4,289,8
11,5,285,8
11,6,384,8
11,7,512,8
11,8,30,8
11,9,50,8
11,10,252,8
11,11,318,8
11,12,75,8
12,1,1540,8
12,2,2944,8
12,3,3838,8
12,4,3838,8
12,5,3899,8
12,6,1347,8
12,7,2070,8
12,8,10355,8
12,9,14712,8
12,10,14734,8
12,11,4239,8
12,12,699,8
13,1,0,8
13,2,0,8
13,3,0,8
13,4,2869,8
13,5,5426,8
13,6,0,8
13,7,0,8
13,8,0,8
13,9,0,8
13,10,387,8
13,11,138,8
13,12,0,8
14,1,21025,8
14,2,12395,8
14,3,6551,8
14,4,6660,8
14,5,6693,8
14,6,1306,8
14,7,460,8
14,8,15485,8
14,9,7437,8
14,10,2370,8
14,11,4249,8
14,12,31877,8
15,1,9384,8
15,2,10201,8
15,3,7944,8
15,4,4813,8
15,5,1750,8
15,6,1459,8
