motif,time,count,delta
0,1,1076,12
0,2,1078,12
0,3,846,12
0,4,857,12
0,5,857,12
0,6,846,12
0,7,840,12
0,8,845,12
0,9,850,12
0,10,845,12
0,11,1088,12
0,12,1096,12
1,1,2802,12
1,2,2802,12
1,3,2340,12
1,4,2340,12
1,5,2340,12
1,6,2340,12
1,7,2340,12
1,8,2340,12
1,9,2340,12
1,10,2340,12
1,11,2802,12
1,12,2802,12
2,1,13136,12
2,2,13136,12
2,3,11788,12
2,4,11788,12
2,5,11788,12
2,6,11788,12
2,7,11772,12
2,8,11772,12
2,9,11772,12
2,10,11772,12
2,11,13136,12
2,12,13136,12
3,1,1115,12
3,2,1113,12
3,3,863,12
3,4,852,12
3,5,852,12
3,6,863,12
3,7,869,12
3,8,864,12
3,9,859,12
3,10,864,12
3,11,1103,12
3,12,1095,12
4,1,1872,12
4,2,1888,12
4,3,1867,12
4,4,1859,12
4,5,1851,12
4,6,1843,12
4,7,1835,12
4,8,1827,12
4,9,1819,12
4,10,1811,12
4,11,1840,12
4,12,1856,12
5,1,1775,12
5,2,1759,12
5,3,1754,12
5,4,1762,12
5,5,1770,12
5,6,1778,12
5,7,1786,12
5,8,1794,12
5,9,1802,12
5,10,1810,12
5,11,1807,12
5,12,1791,12
6,1,142,12
6,2,142,12
6,3,227,12
6,4,229,12
6,5,229,12
6,6,227,12
6,7,142,12
6,8,143,12
6,9,143,12
6,10,143,12
6,11,143,12
6,12,144,12
7,1,3114,12
7,2,3114,12
7,3,2880,12
7,4,2880,12
7,5,2880,12
7,6,2880,12
7,7,2646,12
7,8,2646,12
7,9,2646,12
7,10,2646,12
7,11,3114,12
7,12,3114,12
8,1,2210,12
8,2,2210,12
8,3,2766,12
8,4,2766,12
8,5,2766,12
8,6,2766,12
8,7,2202,12
8,8,2202,12
8,9,2202,12
8,10,2202,12
8,11,2210,12
8,12,2210,12
9,1,146,12
9,2,146,12
9,3,230,12
9,4,228,12
9,5,228,12
9,6,230,12
9,7,146,12
9,8,145,12
9,9,145,12
9,10,145,12
9,11,145,12
9,12,144,12
10,1,0,12
10,2,0,12
10,3,0,12
10,4,0,12
10,5,0,12
10,6,0,12
10,7,0,12
10,8,0,12
10,9,0,12
10,10,0,12
10,11,0,12
10,12,0,12
11,1,0,12
11,2,0,12
11,3,0,12
11,4,0,12
11,5,0,12
11,6,0,12
11,7,0,12
11,8,0,12
11,9,0,12
11,10,0,12
11,11,0,12
11,12,0,12
12,1,920,12
12,2,896,12
12,3,896,12
12,4,908,12
12,5,920,12
12,6,932,12
12,7,944,12
12,8,956,12
12,9,968,12
12,10,980,12
12,11,968,12
12,12,944,12
13,1,2542,12
13,2,2494,12
13,3,2632,12
13,4,2724,12
13,5,2816,12
13,6,2908,12
13,7,2590,12
13,8,2614,12
13,9,2638,12
13,10,2662,12
13,11,2638,12
13,12,2590,12
14,1,13720,12
14,2,13720,12
14,3,12864,12
14,4,12936,12
14,5,13008,12
14,6,13080,12
14,7,13132,12
14,8,13204,12
14,9,13276,12
14,10,13348,12
14,11,13720,12
14,12,13720,12
15,1,920,12
15,2,896,12
15,3,896,12
15,4,908,12
15,5,920,12
15,6,932,12
15,7,944,12
15,8,956,12
15,9,968,12
15,10,980,12
15,11,968,12
15,12,944,12
16,1,1990,12
16,2,2030,12
16,3,1788,12
16,4,1768,12
16,5,1748,12
16,6,1728,12
16,7,1708,12
16,8,1688,12
16,9,1668,12
16,10,1648,12
16,11,1910,12
16,12,1950,12
17,1,1952,12
17,2,1912,12
17,3,1660,12
17,4,1680,12
17,5,1700,12
17,6,1720,12
17,7,1740,12
17,8,1760,12
17,9,1780,12
17,10,1800,12
17,11,2032,12
17,12,1992,12
18,1,194,12
18,2,198,12
18,3,190,12
18,4,182,12
18,5,174,12
18,6,166,12
18,7,170,12
18,8,174,12
18,9,178,12
18,10,182,12
18,11,186,12
18,12,190,12
19,1,3234,12
19,2,3246,12
19,3,3048,12
19,4,3072,12
19,5,3096,12
19,6,3120,12
19,7,3030,12
19,8,3066,12
19,9,3102,12
19,10,3138,12
19,11,3210,12
19,12,3222,12
20,1,2924,12
20,2,3012,12
20,3,2656,12
20,4,2600,12
20,5,2544,12
20,6,2488,12
20,7,2516,12
20,8,2544,12
20,9,2572,12
20,10,2600,12
20,11,2748,12
20,12,2836,12
21,1,194,12
21,2,198,12
21,3,190,12
21,4,182,12
21,5,174,12
21,6,166,12
21,7,170,12
21,8,174,12
21,9,178,12
21,10,182,12
21,11,186,12
21,12,190,12
22,1,2141,12
22,2,2165,12
22,3,1775,12
22,4,1763,12
22,5,1751,12
22,6,1739,12
22,7,1727,12
22,8,1715,12
22,9,1703,12
22,10,1691,12
22,11,2093,12
22,12,2117,12
23,1,2271,12
23,2,2247,12
23,3,1805,12
23,4,1817,12
23,5,1829,12
23,6,1841,12
23,7,1853,12
23,8,1865,12
23,9,1877,12
23,10,1889,12
23,11,2319,12
23,12,2295,12
24,1,970,12
24,2,994,12
24,3,904,12
24,4,964,12
24,5,952,12
24,6,946,12
24,7,934,12
24,8,922,12
24,9,982,12
24,10,820,12
24,11,844,12
24,12,868,12
25,1,2354,12
25,2,2402,12
25,3,2652,12
25,4,2560,12
25,5,2468,12
25,6,2376,12
25,7,2282,12
25,8,2258,12
25,9,2234,12
25,10,2210,12
25,11,2258,12
25,12,2306,12
26,1,12576,12
26,2,12576,12
26,3,12336,12
26,4,12264,12
26,5,12192,12
26,6,12120,12
26,7,12032,12
26,8,11960,12
26,9,11888,12
26,10,11816,12
26,11,12576,12
26,12,12576,12
27,1,965,12
27,2,989,12
27,3,1054,12
27,4,970,12
27,5,958,12
27,6,940,12
27,7,928,12
27,8,916,12
27,9,832,12
27,10,970,12
27,11,995,12
27,12,1019,12
28,1,1734,12
28,2,1734,12
28,3,1728,12
28,4,1728,12
28,5,1728,12
28,6,1728,12
28,7,1716,12
28,8,1716,12
28,9,1716,12
28,10,1716,12
28,11,1734,12
28,12,1734,12
29,1,144,12
29,2,144,12
29,3,156,12
29,4,144,12
29,5,144,12
29,6,144,12
29,7,144,12
29,8,144,12
29,9,132,12
29,10,156,12
29,11,156,12
29,12,156,12
30,1,179,12
30,2,175,12
30,3,170,12
30,4,195,12
30,5,203,12
30,6,207,12
30,7,203,12
30,8,199,12
30,9,212,12
30,10,178,12
30,11,174,12
30,12,170,12
31,1,2910,12
31,2,2898,12
31,3,2940,12
31,4,2916,12
31,5,2892,12
31,6,2868,12
31,7,2802,12
31,8,2766,12
31,9,2730,12
31,10,2694,12
31,11,2934,12
31,12,2922,12
32,1,2480,12
32,2,2392,12
32,3,2396,12
32,4,2452,12
32,5,2508,12
32,6,2564,12
32,7,2536,12
32,8,2508,12
32,9,2480,12
32,10,2452,12
32,11,2656,12
32,12,2568,12
33,1,183,12
33,2,179,12
33,3,200,12
33,4,191,12
33,5,199,12
33,6,211,12
33,7,207,12
33,8,203,12
33,9,182,12
33,10,208,12
33,11,204,12
33,12,200,12
34,1,154,12
34,2,154,12
34,3,167,12
34,4,156,12
34,5,156,12
34,6,155,12
34,7,154,12
34,8,155,12
34,9,143,12
34,10,167,12
34,11,167,12
34,12,168,12
35,1,142,12
35,2,142,12
35,3,143,12
35,4,144,12
35,5,144,12
35,6,143,12
35,7,142,12
35,8,143,12
35,9,143,12
35,10,143,12
35,11,143,12
35,12,144,12
