motif,time,count,delta
0,1,3131,11
0,2,6262,11
0,3,9393,11
0,4,12524,11
0,5,14225,11
0,6,20,11
0,7,1558,11
0,8,0,11
0,9,3514,11
0,10,7028,11
0,11,9507,11
0,12,0,11
1,1,6513,11
1,2,6513,11
1,3,6513,11
1,4,6513,11
1,5,5914,11
1,6,4920,11
1,7,4920,11
1,8,8938,11
1,9,8938,11
1,10,8938,11
1,11,8357,11
1,12,6513,11
2,1,27902,11
2,2,27902,11
2,3,27902,11
2,4,27902,11
2,5,26491,11
2,6,1084,11
2,7,1084,11
2,8,12025,11
2,9,12025,11
2,10,12025,11
2,11,15474,11
2,12,27902,11
3,1,13431,11
3,2,10300,11
3,3,7169,11
3,4,4038,11
3,5,977,11
3,6,2192,11
3,7,654,11
3,8,10417,11
3,9,6903,11
3,10,3389,11
3,11,3036,11
3,12,16562,11
4,1,6089,11
4,2,4776,11
4,3,3463,11
4,4,2150,11
4,5,1160,11
4,6,1742,11
4,7,883,11
4,8,11566,11
4,9,8413,11
4,10,5260,11
4,11,1763,11
4,12,7390,11
5,1,1729,11
5,2,3042,11
5,3,4355,11
5,4,5668,11
5,5,6810,11
5,6,217,11
5,7,1076,11
5,8,448,11
5,9,3601,11
5,10,6754,11
5,11,5836,11
5,12,416,11
6,1,3283,11
6,2,2580,11
6,3,1877,11
6,4,1174,11
6,5,533,11
6,6,2283,11
6,7,2146,11
6,8,8707,11
6,9,5968,11
6,10,3229,11
6,11,1616,11
6,12,3986,11
7,1,11098,11
7,2,11098,11
7,3,11098,11
7,4,11098,11
7,5,11478,11
7,6,4750,11
7,7,4750,11
7,8,15636,11
7,9,15636,11
7,10,15636,11
7,11,15604,11
7,12,11098,11
8,1,3463,11
8,2,3463,11
8,3,3463,11
8,4,3463,11
8,5,3753,11
8,6,4667,11
8,7,4667,11
8,8,20352,11
8,9,20352,11
8,10,20352,11
8,11,8863,11
8,12,3463,11
9,1,979,11
9,2,1682,11
9,3,2385,11
9,4,3088,11
9,5,4038,11
9,6,529,11
9,7,666,11
9,8,1772,11
9,9,4511,11
9,10,7250,11
9,11,4247,11
9,12,276,11
10,1,260,11
10,2,260,11
10,3,260,11
10,4,260,11
10,5,250,11
10,6,775,11
10,7,775,11
10,8,346,11
10,9,346,11
10,10,346,11
10,11,512,11
10,12,260,11
11,1,289,11
11,2,289,11
11,3,289,11
11,4,289,11
11,5,330,11
11,6,770,11
11,7,770,11
11,8,454,11
11,9,454,11
11,10,454,11
11,11,423,11
11,12,289,11
12,1,3838,11
12,2,3838,11
12,3,3838,11
12,4,3838,11
12,5,3899,11
12,6,3634,11
12,7,3634,11
12,8,14824,11
12,9,14824,11
12,10,14824,11
12,11,4239,11
12,12,3838,11
13,1,2869,11
13,2,5738,11
13,3,8607,11
13,4,11476,11
13,5,13565,11
13,6,76,11
13,7,2096,11
13,8,774,11
13,9,9251,11
13,10,17728,11
13,11,11310,11
13,12,0,11
14,1,33216,11
14,2,33325,11
14,3,33434,11
14,4,33543,11
14,5,30933,11
14,6,1394,11
14,7,1480,11
14,8,16031,11
14,9,16401,11
14,10,16771,11
14,11,18451,11
14,12,33107,11
15,1,14206,11
15,2,11075,11
15,3,7944,11
15,4,4813,11
15,5,1750,11
15,6,2422,11
15,7,884,11
15,8,11987,11
15,9,8473,11
15,10,4959,11
15,11,771,11
15,12,17337,11
16,1,5638,11
16,2,4347,11
16,3,3056,11
16,4,1765,11
16,5,1171,11
16,6,1619,11
16,7,773,11
16,8,9332,11
16,9,6214,11
16,10,3096,11
16,11,3019,11
16,12,6919,11
17,1,1397,11
17,2,2688,11
17,3,3979,11
17,4,5270,11
17,5,6110,11
17,6,95,11
17,7,941,11
17,8,255,11
17,9,3373,11
17,10,6491,11
17,11,10347,11
17,12,106,11
18,1,3378,11
18,2,2675,11
18,3,1972,11
18,4,1269,11
18,5,531,11
18,6,3397,11
18,7,3260,11
18,8,8308,11
18,9,5569,11
18,10,2830,11
18,11,818,11
18,12,4081,11
19,1,12297,11
19,2,14775,11
19,3,17253,11
19,4,19731,11
19,5,20534,11
19,6,871,11
19,7,3334,11
19,8,9562,11
19,9,13497,11
19,10,17432,11
19,11,18649,11
19,12,9819,11
20,1,5628,11
20,2,10884,11
20,3,16140,11
20,4,21396,11
20,5,23262,11
20,6,26,11
20,7,2411,11
20,8,0,11
20,9,3769,11
20,10,7538,11
20,11,8895,11
20,12,372,11
21,1,3417,11
21,2,3417,11
21,3,3417,11
21,4,3417,11
21,5,3302,11
21,6,3584,11
21,7,3584,11
21,8,2769,11
21,9,2769,11
21,10,2769,11
21,11,1520,11
21,12,3417,11
22,1,3935,11
22,2,3957,11
22,3,3979,11
22,4,4001,11
22,5,3748,11
22,6,3273,11
22,7,3286,11
22,8,4758,11
22,9,4793,11
22,10,4828,11
22,11,5507,11
22,12,3886,11
23,1,3721,11
23,2,3699,11
23,3,3677,11
23,4,3655,11
23,5,3394,11
23,6,3155,11
23,7,3142,11
23,8,5791,11
23,9,5756,11
23,10,5721,11
23,11,6187,11
23,12,3737,11
24,1,4638,11
24,2,4638,11
24,3,4638,11
24,4,4638,11
24,5,4742,11
24,6,4396,11
24,7,4396,11
24,8,15064,11
24,9,15064,11
24,10,15064,11
24,11,4705,11
24,12,4632,11
25,1,11320,11
25,2,8451,11
25,3,5582,11
25,4,2713,11
25,5,152,11
25,6,3250,11
25,7,1230,11
25,8,20678,11
25,9,12201,11
25,10,3724,11
25,11,0,11
25,12,14179,11
26,1,28001,11
26,2,27892,11
26,3,27783,11
26,4,27674,11
26,5,25496,11
26,6,1151,11
26,7,1065,11
26,8,12702,11
26,9,12332,11
26,10,11962,11
26,11,14604,11
26,12,28110,11
27,1,3502,11
27,2,6633,11
27,3,9764,11
27,4,12895,11
27,5,14718,11
27,6,34,11
27,7,1572,11
27,8,0,11
27,9,3514,11
27,10,7028,11
27,11,4995,11
27,12,371,11
28,1,1331,11
28,2,1331,11
28,3,1331,11
28,4,1331,11
28,5,1252,11
28,6,69,11
28,7,69,11
28,8,532,11
28,9,532,11
28,10,532,11
28,11,610,11
28,12,1331,11
29,1,211,11
29,2,211,11
29,3,211,11
29,4,211,11
29,5,208,11
29,6,234,11
29,7,234,11
29,8,671,11
29,9,671,11
29,10,671,11
29,11,301,11
29,12,211,11
30,1,1289,11
30,2,1992,11
30,3,2695,11
30,4,3398,11
30,5,3794,11
30,6,408,11
30,7,545,11
30,8,1258,11
30,9,3997,11
30,10,6736,11
30,11,3684,11
30,12,586,11
31,1,17509,11
31,2,15031,11
31,3,12553,11
31,4,10075,11
31,5,7791,11
31,6,3451,11
31,7,988,11
31,8,18111,11
31,9,14176,11
31,10,10241,11
31,11,8766,11
31,12,19942,11
32,1,20346,11
32,2,15090,11
32,3,9834,11
32,4,4578,11
32,5,52,11
32,6,2385,11
32,7,0,11
32,8,10503,11
32,9,6734,11
32,10,2965,11
32,11,2232,11
32,12,25602,11
33,1,3809,11
33,2,3809,11
33,3,3809,11
33,4,3809,11
33,5,3237,11
33,6,2811,11
33,7,2811,11
33,8,2899,11
33,9,2899,11
33,10,2899,11
33,11,1487,11
33,12,3809,11
34,1,187,11
34,2,374,11
34,3,561,11
34,4,748,11
34,5,840,11
34,6,4,11
34,7,110,11
34,8,0,11
34,9,278,11
34,10,556,11
34,11,387,11
34,12,0,11
35,1,729,11
35,2,542,11
35,3,355,11
35,4,168,11
35,5,8,11
35,6,106,11
35,7,0,11
35,8,685,11
35,9,407,11
35,10,129,11
