motif,time,count,delta
0,1,300,6
0,2,302,6
0,3,233,6
0,4,233,6
0,5,228,6
0,6,222,6
0,7,233,6
0,8,239,6
0,9,245,6
0,10,244,6
0,11,316,6
0,12,321,6
1,1,765,6
1,2,765,6
1,3,612,6
1,4,598,6
1,5,591,6
1,6,591,6
1,7,591,6
1,8,591,6
1,9,591,6
1,10,598,6
1,11,735,6
1,12,765,6
2,1,3242,6
2,2,3228,6
2,3,2925,6
2,4,2920,6
2,5,2917,6
2,6,2934,6
2,7,2970,6
2,8,3024,6
2,9,3024,6
2,10,3024,6
2,11,3342,6
2,12,3280,6
3,1,295,6
3,2,293,6
3,3,228,6
3,4,228,6
3,5,233,6
3,6,239,6
3,7,228,6
3,8,222,6
3,9,216,6
3,10,217,6
3,11,279,6
3,12,274,6
4,1,468,6
4,2,443,6
4,3,436,6
4,4,436,6
4,5,471,6
4,6,504,6
4,7,535,6
4,8,564,6
4,9,556,6
4,10,548,6
4,11,524,6
4,12,495,6
5,1,449,6
5,2,418,6
5,3,411,6
5,4,411,6
5,5,432,6
5,6,455,6
5,7,480,6
5,8,507,6
5,9,515,6
5,10,523,6
5,11,505,6
5,12,478,6
6,1,37,6
6,2,37,6
6,3,62,6
6,4,61,6
6,5,59,6
6,6,59,6
6,7,36,6
6,8,37,6
6,9,39,6
6,10,39,6
6,11,39,6
6,12,39,6
7,1,792,6
7,2,792,6
7,3,720,6
7,4,714,6
7,5,711,6
7,6,717,6
7,7,666,6
7,8,684,6
7,9,684,6
7,10,687,6
7,11,801,6
7,12,798,6
8,1,527,6
8,2,525,6
8,3,672,6
8,4,672,6
8,5,672,6
8,6,681,6
8,7,543,6
8,8,561,6
8,9,561,6
8,10,561,6
8,11,549,6
8,12,535,6
9,1,35,6
9,2,35,6
9,3,59,6
9,4,60,6
9,5,62,6
9,6,62,6
9,7,36,6
9,8,35,6
9,9,33,6
9,10,33,6
9,11,33,6
9,12,33,6
10,1,0,6
10,2,0,6
10,3,0,6
10,4,0,6
10,5,0,6
10,6,0,6
10,7,0,6
10,8,0,6
10,9,0,6
10,10,0,6
10,11,0,6
10,12,0,6
11,1,0,6
11,2,0,6
11,3,0,6
11,4,0,6
11,5,0,6
11,6,0,6
11,7,0,6
11,8,0,6
11,9,0,6
11,10,0,6
11,11,0,6
11,12,0,6
12,1,254,6
12,2,237,6
12,3,231,6
12,4,231,6
12,5,233,6
12,6,238,6
12,7,246,6
12,8,257,6
12,9,269,6
12,10,281,6
12,11,279,6
12,12,268,6
13,1,697,6
13,2,663,6
13,3,693,6
13,4,672,6
13,5,662,6
13,6,665,6
13,7,681,6
13,8,703,6
13,9,727,6
13,10,751,6
13,11,747,6
13,12,725,6
14,1,3589,6
14,2,3468,6
14,3,3414,6
14,4,3408,6
14,5,3411,6
14,6,3434,6
14,7,3477,6
14,8,3538,6
14,9,3610,6
14,10,3682,6
14,11,3849,6
14,12,3716,6
15,1,254,6
15,2,237,6
15,3,231,6
15,4,231,6
15,5,233,6
15,6,238,6
15,7,246,6
15,8,257,6
15,9,269,6
15,10,281,6
15,11,279,6
15,12,268,6
16,1,487,6
16,2,486,6
16,3,429,6
16,4,429,6
16,5,455,6
16,6,476,6
16,7,492,6
16,8,503,6
16,9,483,6
16,10,463,6
16,11,504,6
16,12,493,6
17,1,533,6
17,2,504,6
17,3,421,6
17,4,421,6
17,5,425,6
17,6,434,6
17,7,448,6
17,8,467,6
17,9,487,6
17,10,507,6
17,11,576,6
17,12,557,6
18,1,56,6
18,2,60,6
18,3,57,6
18,4,53,6
18,5,48,6
18,6,42,6
18,7,42,6
18,8,42,6
18,9,43,6
18,10,45,6
18,11,48,6
18,12,52,6
19,1,840,6
19,2,810,6
19,3,819,6
19,4,798,6
19,5,783,6
19,6,774,6
19,7,792,6
19,8,816,6
19,9,843,6
19,10,873,6
19,11,900,6
19,12,870,6
20,1,755,6
20,2,777,6
20,3,756,6
20,4,728,6
20,5,693,6
