motif,time,count,delta
0,1,0,7
0,2,0,7
0,3,0,7
0,4,0,7
0,5,2845,7
0,6,0,7
0,7,0,7
0,8,0,7
0,9,0,7
0,10,0,7
0,11,0,7
0,12,0,7
1,1,413,7
1,2,1902,7
1,3,4752,7
1,4,6513,7
1,5,5854,7
1,6,1213,7
1,7,1779,7
1,8,3552,7
1,9,5920,7
1,10,8820,7
1,11,7774,7
1,12,285,7
2,1,16945,7
2,2,9426,7
2,3,4129,7
2,4,1382,7
2,5,1913,7
2,6,1008,7
2,7,468,7
2,8,11576,7
2,9,4948,7
2,10,1206,7
2,11,4133,7
2,12,26686,7
3,1,5220,7
3,2,6730,7
3,3,6600,7
3,4,4038,7
3,5,929,7
3,6,980,7
3,7,375,7
3,8,6632,7
3,9,5475,7
3,10,3215,7
3,11,923,7
3,12,2070,7
4,1,2361,7
4,2,2803,7
4,3,2713,7
4,4,2150,7
4,5,1160,7
4,6,920,7
4,7,555,7
4,8,7333,7
4,9,6615,7
4,10,4900,7
4,11,1664,7
4,12,1345,7
5,1,4,7
5,2,4,7
5,3,4,7
5,4,416,7
5,5,1814,7
5,6,61,7
5,7,61,7
5,8,60,7
5,9,60,7
5,10,188,7
5,11,376,7
5,12,4,7
6,1,1578,7
6,2,1760,7
6,3,1660,7
6,4,1174,7
6,5,533,7
6,6,774,7
6,7,1086,7
6,8,5264,7
6,9,4310,7
6,10,2445,7
6,11,1053,7
6,12,1114,7
7,1,5056,7
7,2,3454,7
7,3,2998,7
7,4,3626,7
7,5,3642,7
7,6,2479,7
7,7,2717,7
7,8,9945,7
7,9,8347,7
7,10,8784,7
7,11,8863,7
7,12,7795,7
8,1,289,7
8,2,881,7
8,3,2065,7
8,4,3463,7
8,5,3753,7
8,6,756,7
8,7,1350,7
8,8,8598,7
8,9,14150,7
8,10,20193,7
8,11,8620,7
8,12,282,7
9,1,69,7
9,2,138,7
9,3,207,7
9,4,276,7
9,5,1038,7
9,6,176,7
9,7,264,7
9,8,0,7
9,9,0,7
9,10,0,7
9,11,517,7
9,12,0,7
10,1,58,7
10,2,116,7
