motif,time,count,delta
0,1,6262,12
0,2,9393,12
0,3,12524,12
0,4,15655,12
0,5,16844,12
0,6,1558,12
0,7,3096,12
0,8,3514,12
0,9,7028,12
0,10,10542,12
0,11,11116,12
0,12,3131,12
1,1,6513,12
1,2,6513,12
1,3,6513,12
1,4,6513,12
1,5,5914,12
1,6,4920,12
1,7,4920,12
1,8,8938,12
1,9,8938,12
1,10,8938,12
1,11,8357,12
1,12,6513,12
2,1,40087,12
2,2,40087,12
2,3,40087,12
2,4,40087,12
2,5,36585,12
2,6,2259,12
2,7,2259,12
2,8,21630,12
2,9,21630,12
2,10,21630,12
2,11,23641,12
2,12,40087,12
3,1,13431,12
3,2,10300,12
3,3,7169,12
3,4,4038,12
3,5,977,12
3,6,2192,12
3,7,654,12
3,8,10417,12
3,9,6903,12
3,10,3389,12
3,11,3036,12
3,12,16562,12
4,1,6089,12
4,2,4776,12
4,3,3463,12
4,4,2150,12
4,5,1160,12
4,6,1742,12
4,7,883,12
4,8,11566,12
4,9,8413,12
4,10,5260,12
4,11,1763,12
4,12,7402,12
5,1,3042,12
5,2,4355,12
5,3,5668,12
5,4,6981,12
5,5,8002,12
5,6,1076,12
5,7,1935,12
5,8,3601,12
5,9,6754,12
5,10,9907,12
5,11,7905,12
5,12,1729,12
6,1,3283,12
6,2,2580,12
6,3,1877,12
6,4,1174,12
6,5,533,12
6,6,2283,12
6,7,2146,12
6,8,8707,12
6,9,5968,12
6,10,3229,12
6,11,1616,12
6,12,3986,12
7,1,14541,12
7,2,14541,12
7,3,14541,12
7,4,14541,12
7,5,15016,12
7,6,4930,12
7,7,4930,12
7,8,21296,12
7,9,21296,12
7,10,21296,12
7,11,20623,12
7,12,14541,12
8,1,3463,12
8,2,3463,12
8,3,3463,12
8,4,3463,12
8,5,3753,12
8,6,4667,12
8,7,4667,12
8,8,20352,12
8,9,20352,12
8,10,20352,12
8,11,8863,12
8,12,3463,12
9,1,1682,12
9,2,2385,12
9,3,3088,12
9,4,3791,12
9,5,4788,12
9,6,666,12
9,7,803,12
9,8,4511,12
9,9,7250,12
9,10,9989,12
9,11,5156,12
9,12,979,12
10,1,260,12
10,2,260,12
10,3,260,12
10,4,260,12
10,5,250,12
10,6,775,12
10,7,775,12
10,8,346,12
10,9,346,12
10,10,346,12
10,11,512,12
10,12,260,12
11,1,289,12
11,2,289,12
11,3,289,12
11,4,289,12
11,5,330,12
11,6,770,12
11,7,770,12
11,8,454,12
11,9,454,12
11,10,454,12
11,11,423,12
11,12,289,12
12,1,3838,12
12,2,3838,12
12,3,3838,12
12,4,3838,12
12,5,3899,12
12,6,3634,12
12,7,3634,12
12,8,14824,12
12,9,14824,12
12,10,14824,12
12,11,4239,12
12,12,3838,12
13,1,5738,12
13,2,8607,12
13,3,11476,12
13,4,14345,12
13,5,16629,12
13,6,2096,12
13,7,4116,12
13,8,9251,12
13,9,17728,12
13,10,26205,12
13,11,15335,12
13,12,2869,12
14,1,46621,12
14,2,46730,12
14,3,46839,12
14,4,46948,12
14,5,43519,12
14,6,2961,12
14,7,3047,12
14,8,27442,12
14,9,27812,12
14,10,28182,12
14,11,30487,12
14,12,46512,12
15,1,14206,12
15,2,11075,12
15,3,7944,12
15,4,4813,12
15,5,1750,12
15,6,2422,12
15,7,884,12
15,8,11987,12
15,9,8473,12
15,10,4959,12
15,11,771,12
15,12,17337,12
16,1,5660,12
16,2,4369,12
16,3,3078,12
16,4,1787,12
16,5,1338,12
16,6,1632,12
16,7,786,12
16,8,9367,12
16,9,6249,12
16,10,3131,12
16,11,3944,12
16,12,6951,12
17,1,2710,12
17,2,4001,12
