motif,time,count,delta
0,1,762,10
0,2,764,10
0,3,605,10
0,4,605,10
0,5,605,10
0,6,600,10
0,7,606,10
0,8,595,10
0,9,590,10
0,10,596,10
0,11,760,10
0,12,773,10
1,1,1975,10
1,2,1975,10
1,3,1626,10
1,4,1612,10
1,5,1612,10
1,6,1612,10
1,7,1626,10
1,8,1647,10
1,9,1647,10
1,10,1647,10
1,11,1975,10
1,12,1975,10
2,1,9032,10
2,2,9032,10
2,3,8163,10
2,4,8212,10
2,5,8212,10
2,6,8212,10
2,7,8208,10
2,8,8208,10
2,9,8208,10
2,10,8208,10
2,11,9094,10
2,12,9032,10
3,1,785,10
3,2,783,10
3,3,600,10
3,4,600,10
3,5,600,10
3,6,605,10
3,7,599,10
3,8,610,10
3,9,615,10
3,10,609,10
3,11,787,10
3,12,774,10
4,1,1249,10
4,2,1265,10
4,3,1305,10
4,4,1354,10
4,5,1346,10
4,6,1338,10
4,7,1330,10
4,8,1322,10
4,9,1314,10
4,10,1306,10
4,11,1274,10
4,12,1233,10
5,1,1200,10
5,2,1184,10
5,3,1210,10
5,4,1249,10
5,5,1257,10
5,6,1265,10
5,7,1273,10
5,8,1281,10
5,9,1289,10
5,10,1297,10
5,11,1263,10
5,12,1216,10
6,1,99,10
6,2,99,10
6,3,162,10
6,4,161,10
6,5,161,10
6,6,160,10
6,7,100,10
6,8,98,10
6,9,98,10
6,10,99,10
6,11,99,10
6,12,100,10
7,1,2154,10
7,2,2154,10
7,3,1992,10
7,4,2004,10
7,5,2004,10
7,6,2004,10
7,7,1845,10
7,8,1854,10
7,9,1854,10
7,10,1854,10
7,11,2166,10
7,12,2154,10
8,1,1505,10
8,2,1505,10
8,3,1907,10
8,4,1934,10
8,5,1934,10
8,6,1934,10
8,7,1531,10
8,8,1531,10
8,9,1531,10
8,10,1531,10
8,11,1519,10
8,12,1505,10
9,1,101,10
9,2,101,10
9,3,159,10
9,4,160,10
9,5,160,10
9,6,161,10
9,7,100,10
9,8,102,10
9,9,102,10
9,10,101,10
9,11,101,10
9,12,100,10
10,1,0,10
10,2,0,10
10,3,0,10
10,4,0,10
10,5,0,10
10,6,0,10
10,7,0,10
10,8,0,10
10,9,0,10
10,10,0,10
10,11,0,10
10,12,0,10
11,1,0,10
11,2,0,10
11,3,0,10
11,4,0,10
11,5,0,10
11,6,0,10
11,7,0,10
11,8,0,10
11,9,0,10
11,10,0,10
11,11,0,10
11,12,0,10
12,1,646,10
12,2,622,10
12,3,620,10
12,4,631,10
12,5,643,10
12,6,655,10
12,7,667,10
12,8,679,10
12,9,691,10
12,10,703,10
12,11,693,10
12,12,670,10
13,1,1787,10
13,2,1739,10
13,3,1777,10
13,4,1778,10
13,5,1870,10
13,6,1962,10
13,7,1829,10
13,8,1853,10
13,9,1877,10
13,10,1901,10
13,11,1881,10
13,12,1835,10
14,1,9412,10
14,2,9412,10
14,3,8997,10
14,4,9052,10
14,5,9124,10
14,6,9196,10
14,7,9262,10
14,8,9334,10
14,9,9406,10
14,10,9478,10
14,11,9617,10
14,12,9412,10
15,1,646,10
15,2,622,10
15,3,620,10
15,4,631,10
15,5,643,10
15,6,655,10
15,7,667,10
15,8,679,10
15,9,691,10
15,10,703,10
15,11,693,10
15,12,670,10
16,1,1337,10
16,2,1377,10
16,3,1258,10
16,4,1289,10
16,5,1269,10
16,6,1249,10
16,7,1229,10
16,8,1209,10
16,9,1189,10
16,10,1169,10
16,11,1308,10
16,12,1297,10
17,1,1369,10
17,2,1329,10
17,3,1146,10
17,4,1165,10
17,5,1185,10
17,6,1205,10
17,7,1225,10
17,8,1245,10
17,9,1265,10
17,10,1285,10
17,11,1448,10
17,12,1409,10
18,1,140,10
18,2,144,10
18,3,137,10
18,4,129,10
18,5,121,10
18,6,113,10
18,7,116,10
18,8,120,10
18,9,124,10
18,10,128,10
18,11,132,10
18,12,136,10
19,1,2202,10
19,2,2214,10
19,3,2115,10
19,4,2106,10
19,5,2130,10
19,6,2154,10
19,7,2130,10
19,8,2166,10
19,9,2202,10
19,10,2238,10
19,11,2244,10
19,12,2190,10
20,1,1993,10
20,2,2081,10
20,3,1894,10
20,4,1838,10
20,5,1782,10
20,6,1726,10
20,7,1747,10
20,8,1775,10
20,9,1803,10
20,10,1831,10
20,11,1895,10
20,12,1905,10
21,1,140,10
21,2,144,10
21,3,137,10
21,4,129,10
21,5,121,10
21,6,113,10
21,7,116,10
21,8,120,10
21,9,124,10
21,10,128,10
21,11,132,10
21,12,136,10
22,1,1476,10
22,2,1500,10
22,3,1257,10
22,4,1276,10
22,5,1264,10
22,6,1252,10
22,7,1240,10
22,8,1228,10
22,9,1216,10
22,10,1204,10
22,11,1459,10
22,12,1452,10
23,1,1624,10
23,2,1600,10
23,3,1279,10
23,4,1290,10
23,5,1302,10
23,6,1314,10
23,7,1326,10
23,8,1338,10
23,9,1350,10
23,10,1362,10
23,11,1671,10
23,12,1648,10
24,1,650,10
24,2,674,10
24,3,630,10
24,4,777,10
24,5,765,10
24,6,691,10
24,7,675,10
24,8,729,10
24,9,589,10
24,10,577,10
24,11,567,10
24,12,617,10
25,1,1553,10
25,2,1601,10
25,3,1861,10
25,4,1840,10
25,5,1748,10
25,6,1656,10
25,7,1611,10
25,8,1587,10
25,9,1563,10
25,10,1539,10
25,11,1519,10
25,12,1505,10
26,1,8472,10
26,2,8472,10
26,3,8574,10
26,4,8688,10
26,5,8616,10
26,6,8544,10
26,7,8468,10
26,8,8396,10
26,9,8324,10
26,10,8252,10
26,11,8667,10
26,12,8472,10
27,1,641,10
27,2,665,10
27,3,755,10
27,4,649,10
27,5,637,10
27,6,687,10
27,7,679,10
27,8,601,10
27,9,717,10
27,10,705,10
27,11,693,10
27,12,626,10
28,1,1173,10
28,2,1173,10
28,3,1176,10
28,4,1172,10
28,5,1172,10
28,6,1172,10
28,7,1170,10
28,8,1170,10
28,9,1170,10
28,10,1170,10
28,11,1179,10
28,12,1173,10
29,1,100,10
29,2,100,10
29,3,110,10
29,4,90,10
29,5,90,10
29,6,100,10
29,7,100,10
29,8,90,10
29,9,110,10
29,10,110,10
29,11,110,10
29,12,100,10
30,1,131,10
30,2,127,10
30,3,113,10
30,4,135,10
30,5,143,10
30,6,138,10
30,7,148,10
30,8,166,10
30,9,136,10
30,10,132,10
30,11,128,10
30,12,139,10
31,1,1950,10
31,2,1938,10
31,3,2034,10
31,4,2040,10
31,5,2016,10
31,6,1992,10
31,7,1980,10
31,8,1974,10
31,9,1938,10
31,10,1902,10
31,11,2034,10
31,12,1962,10
32,1,1749,10
32,2,1661,10
32,3,1626,10
32,4,1612,10
32,5,1668,10
32,6,1724,10
32,7,1773,10
32,8,1815,10
32,9,1787,10
32,10,1759,10
32,11,1923,10
32,12,1837,10
33,1,135,10
33,2,131,10
33,3,138,10
33,4,111,10
33,5,119,10
33,6,140,10
33,7,145,10
33,8,140,10
33,9,162,10
33,10,158,10
33,11,154,10
33,12,135,10
34,1,109,10
34,2,109,10
34,3,121,10
34,4,100,10
34,5,100,10
34,6,110,10
34,7,110,10
34,8,98,10
34,9,118,10
34,10,119,10
34,11,119,10
34,12,110,10
35,1,99,10
35,2,99,10
35,3,101,10
35,4,100,10
35,5,100,10
35,6,100,10
35,7,100,10
35,8,98,10
35,9,98,10
35,10,99,10
